Approved symbol	Approved name	RefSeq IDs	NCBI Gene ID(supplied by NCBI)
PALM2	paralemmin 2		
MT-ATT	mitochondrially encoded membrane attachment site		
FRA3B	fragile site, aphidicolin type, common, fra(3)(p14.2)		
SLC7A2-IT1	SLC7A2 intronic transcript 1		
MT-LIPCAR	mitochondrially encoded long non-coding cardiac associated RNA		
PCHILR	prostate cancer associated HIP1 interacting lncRNA		
NUP107-DT	NUP107 divergent transcript	NR_037888	
SYT2-AS1	SYT2 antisense RNA 1		
MYADM-AS2	MYADM antisense RNA 2		
TRMT10BP1	tRNA methyltransferase 10B pseudogene 1		
PGM5P1	phosphoglucomutase 5 pseudogene 1		
TRR-CCT6-1	tRNA-Arg (anticodon CCT) 6-1		
DNAJB5P1	DnaJ heat shock protein family (Hsp40) member B5 pseudogene 1		
PLA2G10BP	phospholipase A2 group XB, pseudogene		
GOLGA6L23P	golgin A6 family like 23, pseudogene		
MPHOSPH10P6	MPHOSPH10 pseudogene 6		
CYCSP56	CYCS pseudogene 56		
DDX11L13	DEAD/H-box helicase 11 like 13 (pseudogene)		
DDX11L15	DEAD/H-box helicase 11 like 15 (pseudogene)		
DDX11L6	DEAD/H-box helicase 11 like 6 (pseudogene)		
DDX11L7	DEAD/H-box helicase 11 like 7 (pseudogene)		
TPM2P1	TPM2 pseudogene 1	NG_026892	
DNM1P39	dynamin 1 pseudogene 39	NG_009138	
GOLGA6GP	golgin A6 family member G, pseudogene		
PLA2G10P1	PLA2G10 pseudogene 1		
CSPG4P9	chondroitin sulfate proteoglycan 4 pseudogene 9		
MTND6P36	MT-ND6 pseudogene 36		
GTF2IP21	general transcription factor IIi pseudogene 21		
MTND4P38	MT-ND4 pseudogene 38		
ZNF285DP	zinc finger protein 285D, pseudogene		
GTF2IP16	general transcription factor IIi pseudogene 16		
CYP2A7P2	cytochrome P450 family 2 subfamily A member 7 pseudogene 2		
DDX12B	DEAD/H-box helicase 12B, pseudogene		
TRE-TTC8-2	tRNA-Glu (TTC) 8-2		
TRA-AGC13-3	tRNA-Ala (anticodon AGC) 13-3		
ZNF72AP	zinc finger protein 72A, pseudogene		
CHEK2P6	CHEK2 pseudogene 6		
ZCCHC10P1	ZCCHC10 pseudogene 1		
LINC02804	long intergenic non-protein coding RNA 2804		
SPACA7BP	SPACA7 family member B, pseudogene		
GAD3P	glutamate decarboxylase family member 3, pseudogene		
PPP4R2P3	PPP4R2 pseudogene 3		
PPP4R2P2	PPP4R2 pseudogene 2		
PPP4R2P5	PPP4R2 pseudogene 5		
WDR70P1	WDR70 pseudogene 1		
CIDECP2	CIDEC pseudogene 2		
ENEMAL	enhancer lncRNA neighbor of NEAT1 and MALAT1		
CHILL1	cancer hallmarks in lung lncRNA 1		
LINC03100	long intergenic non-protein coding RNA 3100		
